file,x,y,dx,dy,bg
jw05094011001_02101_00001_nrcblong/jw05094011001_02101_00001_nrcblong_cal.fits,1398,1667,4,4,0.697322
jw05094011001_02101_00002_nrcblong/jw05094011001_02101_00002_nrcblong_cal.fits,1492,1573,6,3,0.680643
jw05094011001_02101_00003_nrcblong/jw05094011001_02101_00003_nrcblong_cal.fits,1586,1479,4,0,0.679849
jw05094011001_02101_00004_nrcblong/jw05094011001_02101_00004_nrcblong_cal.fits,1680,1385,1,-1,0.689372
jw05094021001_02101_00001_nrcblong/jw05094021001_02101_00001_nrcblong_cal.fits,1394,1667,3,5,0.692056
jw05094021001_02101_00002_nrcblong/jw05094021001_02101_00002_nrcblong_cal.fits,1487,1573,2,2,0.702828
jw05094021001_02101_00003_nrcblong/jw05094021001_02101_00003_nrcblong_cal.fits,1581,1479,1,1,0.652618
jw05094021001_02101_00004_nrcblong/jw05094021001_02101_00004_nrcblong_cal.fits,1675,1384,0,6,0.748611
jw05094011001_02101_00001_nrcb1/jw05094011001_02101_00001_nrcb1_cal.fits,711,1250,6,1,0.525515
jw05094011001_02101_00002_nrcb1/jw05094011001_02101_00002_nrcb1_cal.fits,902,1058,6,0,0.525904
jw05094011001_02101_00003_nrcb1/jw05094011001_02101_00003_nrcb1_cal.fits,1093,866,3,0,0.51978
jw05094011001_02101_00004_nrcb1/jw05094011001_02101_00004_nrcb1_cal.fits,1283,674,4,-1,0.434191
jw05094021001_02101_00001_nrcb1/jw05094021001_02101_00001_nrcb1_cal.fits,701,1250,6,1,0.539092
jw05094021001_02101_00002_nrcb1/jw05094021001_02101_00002_nrcb1_cal.fits,893,1058,5,1,0.571697
jw05094021001_02101_00003_nrcb1/jw05094021001_02101_00003_nrcb1_cal.fits,1083,866,2,0,0.548008
jw05094021001_02101_00004_nrcb1/jw05094021001_02101_00004_nrcb1_cal.fits,1273,673,3,5,0.450422
