#WL (Micrometers)	Transmission (%)
2.5	0.228739
2.4995	0.11385
2.499	0.077578
2.4985	0.057751
2.498	-0.086592
2.4975	-0.163979
2.497	-0.018198
2.4965	0.027313
2.496	-0.188559
2.4955	-0.258839
2.495	-0.352936
2.4945	-0.442791
2.494	-0.250146
2.4935	-0.02134
2.493	0.07436
2.4925	-0.044019
2.492	-0.34478
2.4915	-0.096179
2.491	0.065441
2.4905	-0.228397
2.49	-0.196592
2.4895	-0.152379
2.489	-0.166067
2.4885	-0.101529
2.488	0.022662
2.4875	0.001519
2.487	-0.102456
2.4865	-0.081261
2.486	-0.102563
2.4855	-0.155882
2.485	0.033602
2.4845	0.088489
2.484	-0.068715
2.4835	-0.170953
2.483	-0.318399
2.4825	-0.137289
2.482	-0.172786
2.4815	-0.120614
2.481	-0.085711
2.4805	-0.24526
2.48	-0.221614
2.4795	-0.147893
2.479	-0.147591
2.4785	-0.034951
2.478	0.144118
2.4775	-0.039373
2.477	-0.121111
2.4765	-0.171306
2.476	-0.130538
2.4755	0.018248
2.475	0.088035
2.4745	-0.04102
2.474	-0.383645
2.4735	-0.273199
2.473	-0.070014
2.4725	0.051774
2.472	-0.137001
2.4715	-0.288368
2.471	-0.227573
2.4705	-0.17769
2.47	-0.098546
2.4695	-0.167044
2.469	-0.185817
2.4685	-0.128014
2.468	0.067095
2.4675	0.048831
2.467	0.068578
2.4665	0.029021
2.466	-0.07807
2.4655	0.018324
2.465	0.094427
2.4645	0.13405
2.464	-0.038037
2.4635	-0.241185
2.463	0.009169
2.4625	0.095863
2.462	0.164216
2.4615	0.068506
2.461	-0.248604
2.4605	-0.230316
2.46	-0.165446
2.4595	-0.145551
2.459	0.016705
2.4585	0.140943
2.458	-0.066859
2.4575	-0.168248
2.457	-0.138021
2.4565	-0.13996
2.456	-0.194668
2.4555	-0.232675
2.455	-0.139699
2.4545	-0.204642
2.454	-0.253268
2.4535	-0.151863
2.453	-0.028822
2.4525	-0.055978
2.452	-0.110646
2.4515	0.036403
2.451	-0.010652
2.4505	-0.111438
2.45	-0.054814
2.4495	-0.027364
2.449	0.182562
2.4485	0.254577
2.448	0.126409
2.4475	0.073062
2.447	-0.009156
2.4465	0.025944
2.446	0.04414
2.4455	-0.053403
2.445	0.100931
2.4445	0.099432
2.444	0.026024
2.4435	0.116199
2.443	0.025951
2.4425	-0.088569
2.442	-0.007641
2.4415	0.018321
2.441	-0.071715
2.4405	-0.079325
2.44	-0.097306
2.4395	0.009088
2.439	0.255519
2.4385	0.051535
2.438	-0.161344
2.4375	0.079101
2.437	0
2.4365	-0.123447
2.436	0.113
2.4355	0.23803
2.435	0.19345
2.4345	0.204181
2.434	0.060959
2.4335	0.059118
2.433	0.146667
2.4325	-0.016693
2.432	-0.085039
2.4315	0.042552
2.431	0.172093
2.4305	0.188602
2.43	0.059265
2.4295	0.197713
2.429	0.156692
2.4285	-0.041093
2.428	0.126501
2.4275	0.193745
2.427	0.161541
2.4265	0.128209
2.426	0.321725
2.4255	0.220841
2.425	-0.024429
2.4245	0.143341
2.424	0.12654
2.4235	0.033594
2.423	0.03515
2.4225	0.192161
2.422	0.324245
2.4215	0.265143
2.421	0.29103
2.4205	0.280689
2.42	0.339154
2.4195	0.348123
2.419	0.190793
2.4185	0.240953
2.418	0.248366
2.4175	0.262335
2.417	0.335565
2.4165	0.326598
2.416	0.245775
2.4155	0.106774
2.415	0.074752
2.4145	0.015237
2.414	0.257152
2.4135	0.354939
2.413	0.4341
2.4125	0.527865
2.412	0.42412
2.4115	0.560972
2.411	0.615278
2.4105	0.495815
2.41	0.390708
2.4095	0.364786
2.409	0.333674
2.4085	0.553739
2.408	0.577288
2.4075	0.513881
2.407	0.656922
2.4065	0.616314
2.406	0.622821
2.4055	0.714579
2.405	0.744984
2.4045	0.754406
2.404	0.840272
2.4035	0.901547
2.403	0.898263
2.4025	0.863503
2.402	0.865404
2.4015	0.969819
2.401	0.951303
2.4005	0.969206
2.4	1.063993
2.3995	1.170839
2.399	1.264242
2.3985	1.235585
2.398	1.315388
2.3975	1.406644
2.397	1.503185
2.3965	1.663868
2.396	1.703375
2.3955	1.875904
2.395	2.068955
2.3945	2.073579
2.394	2.079435
2.3935	2.151649
2.393	2.180301
2.3925	2.232551
2.392	2.419269
2.3915	2.638929
2.391	2.622911
2.3905	2.807611
2.39	3.214877
2.3895	3.261299
2.389	3.400055
2.3885	3.610878
2.388	3.780649
2.3875	3.944224
2.387	4.086678
2.3865	4.369532
2.386	4.587801
2.3855	4.833708
2.385	5.308319
2.3845	5.670072
2.384	5.993816
2.3835	6.475576
2.383	6.661488
2.3825	6.97848
2.382	7.612336
2.3815	8.032764
2.381	8.486708
2.3805	9.096304
2.38	9.604872
2.3795	10.162477
2.379	10.811387
2.3785	11.454155
2.378	12.209569
2.3775	12.870699
2.377	13.610456
2.3765	14.507803
2.376	15.399204
2.3755	16.39847
2.375	17.55695
2.3745	18.678799
2.374	19.764727
2.3735	21.037474
2.373	22.184294
2.3725	23.6751
2.372	25.114077
2.3715	26.484701
2.371	28.170237
2.3705	29.688591
2.37	31.531012
2.3695	33.440311
2.369	35.29018
2.3685	37.394703
2.368	39.350945
2.3675	41.447529
2.367	43.652119
2.3665	45.846958
2.366	47.934853
2.3655	50.134743
2.365	52.557747
2.3645	55.07967
2.364	57.319473
2.3635	59.509159
2.363	61.752575
2.3625	63.992207
2.362	66.668694
2.3615	68.863525
2.361	70.881561
2.3605	73.248672
2.36	75.435272
2.3595	77.259537
2.359	79.040077
2.3585	80.749718
2.358	82.17527
2.3575	83.619926
2.357	85.314789
2.3565	86.575752
2.356	87.778336
2.3555	88.984825
2.355	89.903847
2.3545	91.012062
2.354	91.91674
2.3535	92.710785
2.353	93.507088
2.3525	93.957291
2.352	94.443008
2.3515	94.904037
2.351	95.011421
2.3505	95.155785
2.35	95.629723
2.3495	95.960274
2.349	95.862511
2.3485	95.879265
2.348	96.405098
2.3475	96.684006
2.347	96.269135
2.3465	95.899513
2.346	96.147064
2.3455	96.081947
2.345	95.945129
2.3445	96.105286
2.344	96.008308
2.3435	96.119431
2.343	95.990974
2.3425	95.606186
2.342	95.594521
2.3415	95.611496
2.341	95.53064
2.3405	95.583519
2.34	95.484566
2.3395	95.313072
2.339	95.264496
2.3385	95.206741
2.338	95.144226
2.3375	94.726845
2.337	94.636444
2.3365	94.731148
2.336	94.317024
2.3355	94.249306
2.335	94.560608
2.3345	94.428093
2.334	94.127777
2.3335	94.258446
2.333	94.204117
2.3325	93.968468
2.332	94.155617
2.3315	94.126907
2.331	93.884369
2.3305	94.010666
2.33	94.085037
2.3295	93.817421
2.329	93.66967
2.3285	93.546768
2.328	93.542648
2.3275	93.927094
2.327	93.84996
2.3265	93.744858
2.326	93.911919
2.3255	93.929878
2.325	93.81778
2.3245	93.651955
2.324	93.818878
2.3235	93.886864
2.323	93.869659
2.3225	94.135155
2.322	94.143364
2.3215	93.989983
2.321	93.92038
2.3205	94.017509
2.32	94.019249
2.3195	93.995239
2.319	94.271278
2.3185	94.38575
2.318	94.291252
2.3175	94.417152
2.317	94.681305
2.3165	94.378357
2.316	94.120247
2.3155	94.41552
2.315	94.662453
2.3145	94.665512
2.314	94.562706
2.3135	94.461647
2.313	94.737404
2.3125	95.067635
2.312	94.771423
2.3115	94.60173
2.311	94.845688
2.3105	94.72123
2.31	94.696404
2.3095	94.869415
2.309	94.962418
2.3085	95.164185
2.308	95.210678
2.3075	95.332184
2.307	95.346008
2.3065	95.213074
2.306	95.344002
2.3055	95.163742
2.305	95.102051
2.3045	95.420685
2.304	95.340424
2.3035	95.290909
2.303	95.643013
2.3025	95.478218
2.302	95.311691
2.3015	95.803864
2.301	95.868629
2.3005	95.604393
2.3	95.804131
2.2995	96.112488
2.299	95.824951
2.2985	95.85183
2.298	96.07238
2.2975	96.011841
2.297	96.239235
2.2965	96.135826
2.296	96.029594
2.2955	96.096489
2.295	95.948372
2.2945	96.309341
2.294	96.422203
2.2935	96.120384
2.293	96.118263
2.2925	96.159355
2.292	96.064911
2.2915	96.139099
2.291	96.155602
2.2905	95.870926
2.29	95.874893
2.2895	95.856697
2.289	95.64476
2.2885	95.720505
2.288	96.013832
2.2875	95.840813
2.287	95.984329
2.2865	96.199066
2.286	95.921104
2.2855	95.763451
2.285	95.608284
2.2845	95.620117
2.284	95.859871
2.2835	95.68837
2.283	95.4114
2.2825	95.619057
2.282	95.650452
2.2815	95.451355
2.281	95.530258
2.2805	95.519455
2.28	95.104111
2.2795	95.513657
2.279	95.859413
