# Solar irradiance, Labs and Neckel 1970
# wavelength interval (lambda 1, lambda 2), integrated irradiance
# micron, micron, micro-W/cm2
0 0.2 16
0.20 0.21 16
0.21 0.22 37
0.22 0.23 55
0.23 0.24 54
0.24 0.25 60
0.25 0.26 86
0.26 0.27 160
0.27 0.28 177
0.28 0.29 273
0.29 0.3  505
0.3 0.31  537
0.31 0.32 658
0.32 0.33 818
0.33 0.34 900
0.34 0.35 894
0.35 0.36 949
0.36 0.37 1051
0.37 0.38 1040
0.38 0.39 945
0.39 0.4  1134
0.4 0.41  1631
0.41 0.42 1700
0.42 0.43 1659
0.43 0.44 1672
0.44 0.45 1928
0.45 0.46 2006
0.46 0.47 1986
0.47 0.48 1989
0.48 0.49 1888
0.49 0.5  1956
0.5 0.51  1902
0.51 0.52 1831
0.52 0.53 1859
0.53 0.54 1917
0.54 0.55 1856
0.55 0.56 1841
0.56 0.57 1828
0.57 0.58 1834
0.58 0.59 1808
0.59 0.6  1763
0.6 0.61  1741
0.61 0.62 1705
0.62 0.63 1658
0.63 0.64 1637
0.64 0.65 1599
0.65 0.66 1520
0.66 0.67 1555
0.67 0.68 1516
0.68 0.69 1489
0.69 0.7  1450
0.7 0.71  1416
0.71 0.72 1385
0.72 0.73 1356
0.73 0.74 1316
0.74 0.75 1284
0.75 0.76 1265
0.76 0.77 1236
0.77 0.78 1207
0.78 0.79 1183
0.79 0.8  1161
0.8 0.81  1136
0.81 0.82 1104
0.82 0.83 1075
0.83 0.84 1051
0.84 0.85 1006
0.85 0.86 986
0.86 0.87 968
0.87 0.88 947
0.88 0.89 924
0.89 0.9  920
0.9 0.91  898
0.91 0.92 874
0.92 0.93 857
0.93 0.94 841
0.94 0.95 823
0.95 0.96 806
0.96 0.97 789
0.97 0.98 773
0.98 0.99 756
0.99 1.0  739
1.0 1.1 6610
1.1 1.2 5399
1.2 1.3 4473
1.3 1.4 3743
1.4 1.5 3186
1.5 1.6 2728
1.6 1.7 2279
1.7 1.8 1863
1.8 1.9 1529
1.9 2.0 1269
2.0 2.1 1064
2.1 2.2 895
2.2 2.3 759
2.3 2.4 648
2.4 2.5 558
2.5 2.6 483
2.6 2.7 419
2.7 2.8 365
2.8 2.9 320
2.9 3.0 281
3.0 3.1 248
3.1 3.2 219
3.2 3.3 194
3.3 3.4 173
3.4 3.5 155
3.5 3.6 139
3.6 3.7 125
3.7 3.8 113
3.8 3.9 102
3.9 4.0 92.7
4.0 4.1 84.2
4.1 4.2 76.8
4.2 4.3 70.0
4.3 4.4 64.0
4.4 4.5 58.5
4.5 4.6 53.8
4.6 4.7 49.4
4.7 4.8 45.6
4.8 4.9 42.1
4.9 5.0 38.9
5.0 6.0   258.0
6.0 7.0	  137.0
7.0 8.0	  77.5
8.0 9.0	  47.2
9.0 10.0  30.5
10.0 11.0 20.5
11.0 12.0 14.2
12.0 13.0 10.1
13.0 14.0 7.51
14.0 15.0 5.64
15.0 16.0 4.32
16.0 17.0 3.35
17.0 18.0 2.61
18.0 19.0 2.12
19.0 20.0 1.72
20.0 21.0 1.43
21.0 22.0 1.18
22.0 23.0 0.982
23.0 24.0 0.828
24.0 25.0 0.700
25.0 26.0 0.597
26.0 27.0 0.511
27.0 28.0 0.442
28.0 29.0 0.382
29.0 30.0 0.334
30 40  1.800
40 50  0.643
50 60  0.285
60 70  0.146
70 80  0.082
80 90  0.050
90 100 0.032
