# 2012-12-14T21:58:14.275354
# micron, W/cm2/um
# /home/msk/.mskpy/data/wehrli85_smoothed0.005.txt
# 9.4e 9.4e
#
1.9950e-01 9.1401e-04 
2.0050e-01 9.7380e-04 
2.0150e-01 1.0465e-03 
2.0250e-01 1.1344e-03 
2.0350e-01 1.2398e-03 
2.0450e-01 1.3644e-03 
2.0550e-01 1.5093e-03 
2.0650e-01 1.6747e-03 
2.0750e-01 1.8595e-03 
2.0850e-01 2.0612e-03 
2.0950e-01 2.2762e-03 
2.1050e-01 2.5002e-03 
2.1150e-01 2.7286e-03 
2.1250e-01 2.9570e-03 
2.1350e-01 3.1819e-03 
2.1450e-01 3.4005e-03 
2.1550e-01 3.6107e-03 
2.1650e-01 3.8111e-03 
2.1750e-01 4.0005e-03 
2.1850e-01 4.1772e-03 
2.1950e-01 4.3397e-03 
2.2050e-01 4.4858e-03 
2.2150e-01 4.6138e-03 
2.2250e-01 4.7221e-03 
2.2350e-01 4.8100e-03 
2.2450e-01 4.8778e-03 
2.2550e-01 4.9269e-03 
2.2650e-01 4.9597e-03 
2.2750e-01 4.9791e-03 
2.2850e-01 4.9884e-03 
2.2950e-01 4.9908e-03 
2.3050e-01 4.9895e-03 
2.3150e-01 4.9874e-03 
2.3250e-01 4.9874e-03 
2.3350e-01 4.9918e-03 
2.3450e-01 5.0032e-03 
2.3550e-01 5.0232e-03 
2.3650e-01 5.0531e-03 
2.3750e-01 5.0931e-03 
2.3850e-01 5.1422e-03 
2.3950e-01 5.1983e-03 
2.4050e-01 5.2586e-03 
2.4150e-01 5.3205e-03 
2.4250e-01 5.3820e-03 
2.4350e-01 5.4433e-03 
2.4450e-01 5.5070e-03 
2.4550e-01 5.5795e-03 
2.4650e-01 5.6700e-03 
2.4750e-01 5.7908e-03 
2.4850e-01 5.9558e-03 
2.4950e-01 6.1793e-03 
2.5050e-01 6.4746e-03 
2.5150e-01 6.8529e-03 
2.5250e-01 7.3225e-03 
2.5350e-01 7.8889e-03 
2.5450e-01 8.5550e-03 
2.5550e-01 9.3220e-03 
2.5650e-01 1.0190e-02 
2.5750e-01 1.1157e-02 
2.5850e-01 1.2219e-02 
2.5950e-01 1.3365e-02 
2.6050e-01 1.4581e-02 
2.6150e-01 1.5838e-02 
2.6250e-01 1.7103e-02 
2.6350e-01 1.8330e-02 
2.6450e-01 1.9472e-02 
2.6550e-01 2.0480e-02 
2.6650e-01 2.1312e-02 
2.6750e-01 2.1940e-02 
2.6850e-01 2.2351e-02 
2.6950e-01 2.2550e-02 
2.7050e-01 2.2561e-02 
2.7150e-01 2.2424e-02 
2.7250e-01 2.2187e-02 
2.7350e-01 2.1910e-02 
2.7450e-01 2.1651e-02 
2.7550e-01 2.1470e-02 
2.7650e-01 2.1421e-02 
2.7750e-01 2.1554e-02 
2.7850e-01 2.1910e-02 
2.7950e-01 2.2523e-02 
2.8050e-01 2.3416e-02 
2.8150e-01 2.4602e-02 
2.8250e-01 2.6083e-02 
2.8350e-01 2.7846e-02 
2.8450e-01 2.9863e-02 
2.8550e-01 3.2087e-02 
2.8650e-01 3.4454e-02 
2.8750e-01 3.6886e-02 
2.8850e-01 3.9291e-02 
2.8950e-01 4.1576e-02 
2.9050e-01 4.3656e-02 
2.9150e-01 4.5462e-02 
2.9250e-01 4.6955e-02 
2.9350e-01 4.8127e-02 
2.9450e-01 4.9007e-02 
2.9550e-01 4.9653e-02 
2.9650e-01 5.0146e-02 
2.9750e-01 5.0578e-02 
2.9850e-01 5.1040e-02 
2.9950e-01 5.1612e-02 
3.0050e-01 5.2346e-02 
3.0150e-01 5.3270e-02 
3.0250e-01 5.4374e-02 
3.0350e-01 5.5627e-02 
3.0450e-01 5.6975e-02 
3.0550e-01 5.8363e-02 
3.0650e-01 5.9742e-02 
3.0750e-01 6.1076e-02 
3.0850e-01 6.2347e-02 
3.0950e-01 6.3549e-02 
3.1000e-01 6.4126e-02 
3.1040e-01 6.4575e-02 
3.1080e-01 6.5015e-02 
3.1120e-01 6.5447e-02 
3.1160e-01 6.5869e-02 
3.1200e-01 6.6285e-02 
