#WL (Micrometers)	Transmission (%)
2.486	-0.245667
2.4855	-0.108337
2.485	0.013733
2.4845	0
2.484	-0.093079
2.4835	-0.108337
2.483	-0.126648
2.4825	-0.141907
2.482	-0.047302
2.4815	0.032043
2.481	0.193787
2.4805	0.146484
2.48	-0.152588
2.4795	-0.172424
2.479	-0.057983
2.4785	-0.079346
2.478	-0.085449
2.4775	0.090027
2.477	0.099182
2.4765	-0.042725
2.476	-0.05188
2.4755	-0.100708
2.475	-0.07019
2.4746	-0.119019
2.4741	-0.146484
2.4736	-0.090027
2.4731	-0.094604
2.4726	-0.076294
2.4721	-0.076294
2.4716	-0.108337
2.4711	-0.071716
2.4706	-0.016785
2.4701	-0.030518
2.4696	-0.097656
2.4691	-0.094604
2.4686	-0.07019
2.4681	-0.109863
2.4676	-0.07782
2.4671	-0.073242
2.4666	-0.059509
2.4661	-0.12207
2.4656	-0.094604
2.4651	-0.033569
2.4646	-0.045776
2.4641	-0.054932
2.4636	0.109863
2.4631	0.172424
2.4626	-0.004578
2.4621	0
2.4616	0.022888
2.4611	0.003052
2.4606	-0.076294
2.4601	-0.262451
2.4596	-0.201416
2.4591	-0.048828
2.4586	-0.109863
2.4581	-0.093079
2.4576	-0.028992
2.4572	-0.028992
2.4567	0.039673
2.4562	0.036621
2.4557	-0.07019
2.4552	-0.019836
2.4547	-0.035095
2.4542	-0.082397
2.4537	-0.062561
2.4532	-0.054932
2.4527	-0.073242
2.4522	-0.088501
2.4517	-0.004578
2.4512	0.027466
2.4507	-0.02594
2.4502	-0.038147
2.4497	-0.057983
2.4492	-0.080872
2.4487	-0.032043
2.4482	0.048828
2.4477	0.05188
2.4472	-0.050354
2.4467	-0.079346
2.4462	-0.064087
2.4457	-0.17395
2.4452	-0.227356
2.4447	-0.135803
2.4442	-0.090027
2.4437	-0.079346
2.4432	-0.033569
2.4427	0.013733
2.4422	-0.024414
2.4417	-0.17395
2.4412	-0.158691
2.4407	-0.082397
2.4402	-0.074768
2.4397	-0.07782
2.4393	-0.07782
2.4388	-0.047302
2.4383	-0.065613
2.4378	-0.065613
2.4373	-0.021362
2.4368	-0.015259
2.4363	-0.093079
2.4358	-0.085449
2.4353	-0.021362
2.4348	-0.09613
2.4343	-0.041199
2.4338	-0.059509
2.4333	-0.099182
2.4328	-0.04425
2.4323	-0.057983
2.4318	-0.036621
2.4313	-0.042725
2.4308	-0.028992
2.4303	-0.047302
2.4298	-0.065613
2.4293	-0.001526
2.4288	-0.02594
2.4283	0.053406
2.4278	0.097656
2.4273	0.047302
2.4268	-0.010681
2.4263	0.120544
2.4258	0.160217
2.4253	-0.07019
2.4248	-0.039673
2.4243	0.054932
2.4238	0.054932
2.4233	0
2.4228	-0.054932
2.4223	-0.062561
2.4218	-0.059509
2.4214	-0.074768
2.4209	-0.061035
2.4204	-0.056458
2.4199	-0.07019
2.4194	-0.024414
2.4189	-0.007629
2.4184	-0.054932
2.4179	-0.057983
2.4174	-0.04425
2.4169	-0.061035
2.4164	-0.053406
2.4159	-0.012207
2.4154	-0.006104
2.4149	0.003052
2.4144	-0.016785
2.4139	-0.085449
2.4134	-0.091553
2.4129	0.033569
2.4124	0.10376
2.4119	0
2.4114	0.064087
2.4109	0.134277
2.4104	-0.027466
2.4099	-0.030518
2.4094	-0.056458
2.4089	-0.10376
2.4084	-0.022888
2.4079	-0.080872
2.4074	-0.120544
2.4069	-0.083923
2.4064	-0.076294
2.4059	-0.065613
2.4054	-0.02594
2.4049	0.003052
2.4044	-0.131226
2.4039	-0.152588
2.4035	-0.036621
2.403	-0.07782
2.4025	-0.097656
2.402	-0.071716
2.4015	-0.036621
2.401	0.015259
2.4005	-0.009155
2.4	-0.048828
2.3995	0.04425
2.399	0.045776
2.3985	-0.050354
2.398	-0.02594
2.3975	0.015259
2.397	0
2.3965	-0.041199
2.396	-0.04425
2.3955	-0.038147
2.395	-0.018311
2.3945	-0.050354
2.394	-0.151062
2.3935	-0.132751
2.393	-0.032043
2.3925	-0.038147
2.392	-0.02594
2.3915	-0.073242
2.391	-0.097656
2.3905	-0.119019
2.39	-0.125122
2.3895	-0.05188
2.389	-0.061035
2.3885	-0.073242
2.388	-0.006104
2.3875	0.036621
2.387	-0.013733
2.3865	-0.05188
2.3861	-0.028992
2.3856	-0.027466
2.3851	-0.085449
2.3846	-0.07019
2.3841	-0.02594
2.3836	-0.035095
2.3831	-0.015259
2.3826	-0.012207
2.3821	-0.003052
2.3816	0.018311
2.3811	-0.009155
2.3806	0.004578
2.3801	-0.018311
2.3796	-0.018311
2.3791	-0.021362
2.3786	0.003052
2.3781	0.010681
2.3776	-0.041199
2.3771	-0.047302
2.3766	-0.012207
2.3761	-0.068665
2.3756	-0.115967
2.3751	-0.038147
2.3746	0.035095
2.3741	-0.032043
2.3736	-0.056458
2.3731	-0.030518
2.3726	-0.19989
2.3721	-0.164795
2.3716	0.007629
2.3711	0.015259
2.3706	0.024414
2.3701	0.038147
2.3696	0.024414
2.3691	0.076294
2.3686	0.125122
2.3682	0.027466
2.3677	-0.042725
2.3672	0
2.3667	-0.050354
2.3662	-0.05188
2.3657	0.099182
2.3652	0.108337
2.3647	0.038147
2.3642	0.02594
2.3637	0.028992
2.3632	0.042725
2.3627	0.019836
2.3622	0.024414
2.3617	0.05188
2.3612	0.038147
2.3607	0.032043
2.3602	0.013733
2.3597	0
2.3592	0.013733
2.3587	0.039673
2.3582	0.050354
2.3577	0.080872
2.3572	0.074768
2.3567	0.036621
2.3562	0.030518
2.3557	0.064087
2.3552	0.111389
2.3547	0.1297
2.3542	0.079346
2.3537	0.062561
2.3532	0.108337
2.3527	0.102234
2.3522	0.048828
2.3517	0.027466
2.3512	0.088501
2.3507	0.108337
2.3503	0.090027
2.3498	0.015259
2.3493	0.05188
2.3488	0.218201
2.3483	0.187683
2.3478	0.100708
2.3473	0.120544
2.3468	0.228882
2.3463	0.212097
2.3458	0.109863
2.3453	0.140381
2.3448	0.140381
2.3443	0.158691
2.3438	0.17395
2.3433	0.164795
2.3428	0.169373
2.3423	0.215149
2.3418	0.288391
2.3413	0.241089
2.3408	0.230408
2.3403	0.285339
2.3398	0.257874
2.3393	0.233459
2.3388	0.283813
2.3383	0.302124
2.3378	0.270081
2.3373	0.285339
2.3368	0.274658
2.3363	0.265503
2.3358	0.286865
2.3353	0.323486
2.3348	0.363159
2.3343	0.404358
2.3338	0.401306
2.3333	0.361633
2.3329	0.395203
2.3324	0.427246
2.3319	0.450134
2.3314	0.512695
2.3309	0.588989
2.3304	0.595093
2.3299	0.590515
2.3294	0.593567
2.3289	0.639343
2.3284	0.65918
2.3279	0.662231
2.3274	0.70343
2.3269	0.730896
2.3264	0.761414
2.3259	0.785828
2.3254	0.849915
2.3249	0.904846
2.3244	0.915527
2.3239	0.935364
2.3234	0.976563
2.3229	1.019287
2.3224	1.078796
2.3219	1.097107
2.3214	1.148987
2.3209	1.300049
2.3204	1.373291
2.3199	1.397705
2.3194	1.431274
2.3189	1.496887
2.3184	1.570129
2.3179	1.631165
2.3174	1.803589
2.3169	1.893616
2.3164	1.940918
2.3159	2.06604
2.3154	2.156067
2.315	2.212524
2.3145	2.340698
2.314	2.54364
2.3135	2.655029
2.313	2.760315
2.3125	3.016663
2.312	3.17688
2.3115	3.283691
2.311	3.492737
2.3105	3.630066
2.31	3.837585
2.3095	4.101563
2.309	4.348755
2.3085	4.571533
2.308	4.794312
2.3075	5.065918
2.307	5.410767
2.3065	5.821228
2.306	6.140137
2.3055	6.463623
2.305	6.898499
2.3045	7.35321
2.304	7.876587
2.3035	8.34198
2.303	8.81958
2.3025	9.413147
2.302	10.025024
2.3015	10.626221
2.301	11.265564
2.3005	11.962891
2.3	12.736511
2.2995	13.523865
2.299	14.422607
2.2985	15.351868
2.298	16.259766
2.2975	17.367554
2.2971	18.476868
2.2966	19.746399
2.2961	21.116638
2.2956	22.219849
2.2951	23.597717
2.2946	25.236511
2.2941	26.753235
2.2936	28.329468
2.2931	30.166626
2.2926	31.893921
2.2921	33.847046
2.2916	35.85968
2.2911	37.435913
2.2906	39.5401
2.2901	41.671753
2.2896	44.000244
2.2891	46.141052
2.2886	48.271179
2.2881	50.701904
2.2876	52.967834
2.2871	55.610657
2.2866	58.047485
2.2861	60.095215
2.2856	62.67395
2.2851	65.103149
2.2846	67.337036
2.2841	69.758606
2.2836	71.955872
2.2831	74.067688
2.2826	76.142883
2.2821	78.082275
2.2816	79.806519
2.2811	81.375122
2.2806	82.937622
2.2801	84.310913
2.2797	85.75592
2.2792	87.135315
2.2787	88.056946
2.2782	89.044189
2.2777	90.010071
2.2772	90.948486
2.2767	91.712952
2.2762	92.391968
2.2757	93.008423
2.2752	93.144226
2.2747	93.475342
2.2742	94.099426
2.2737	94.212341
2.2732	94.702148
2.2727	95.123291
2.2722	95.111084
2.2717	95.428467
2.2712	95.625305
2.2707	95.678711
2.2702	95.822144
2.2697	95.843506
2.2692	96.113586
2.2687	96.008301
2.2682	95.797729
2.2677	95.916748
2.2672	95.936584
2.2667	95.974731
2.2662	95.899963
2.2657	95.88623
2.2652	96.009827
2.2647	96.160889
