# Neckel and Labs 1984, Table III
# Phi is mean intensity of the disk
# irradiance at Earth's mean distance = 6.8e-5 * Phi
#lambda Sigma    Phi/Sigma
#A      W/cm2/sr none
3298.15 4.529 0.6998
3317.65 4.149 0.7026
3337.95 3.984 0.7058
3358.55 3.810 0.7069
3378.65 3.717 0.7089
3398.25 4.187 0.7081
3418.65 3.972 0.7104
3437.95 3.644 0.7138
3458.25 3.899 0.7131
3478.55 3.929 0.7127

3498.15 4.041 0.7168
3518.55 3.990 0.7168
3538.95 4.705 0.7189
3559.05 4.398 0.7176
3579.35 3.139 0.7219
3599.55 4.417 0.7251
3620.15 4.335 0.7278
3640.55 4.119 0.7304
3661.05 5.182 0.7324
3677.75 4.752 0.7334

3698.25 4.895 0.7369
3718.65 4.700 0.7338
3736.65 3.933 0.7303
3754.75 4.147 0.7299
3775.25 5.424 0.7318
3794.35 4.708 0.7303
3813.95 4.708 0.7137
3833.55 2.869 0.7572
3853.75 4.349 0.7134
3873.75 4.206 0.7132

3894.15 4.634 0.7447
3911.95 5.297 0.7190
3932.45 2.919 0.7575
3950.25 5.184 0.7270
3969.25 3.387 0.7591
3989.25 6.509 0.7295
4001.05 6.957 0.7254
4020.00 7.273 0.7274
4040.00 6.630 0.7268
4060.00 6.690 0.7313

4078.8 6.771 0.7376
4098.8 6.189 0.7704
4117.1 7.168 0.7436
4137.1 6.983 0.7329
4156.5 7.187 0.7331
4175.9 6.799 0.7360
4191.2 6.645 0.7359
4211.2 7.266 0.7381
4231.0 6.583 0.7403
4247.5 6.980 0.7365

4267.9 6.460 0.7409
4286.4 6.561 0.7396
4306.4 4.930 0.7461
4326.4 6.988 0.7595
4339.7 6.366 0.7809
4359.2 7.190 0.7507
4371.9 7.261 0.7472
4391.9 6.588 0.7471
4409.0 7.046 0.7495
4428.0 7.657 0.7516

4447.2 7.615 0.7581
4464.0 7.238 0.7541
4483.2 7.869 0.7609
4503.2 8.275 0.7587
4523.6 7.755 0.7602
4543.6 7.806 0.7625
4563.6 7.968 0.7625
4583.7 7.794 0.7654
4603.7 7.804 0.7648
4623.6 8.068 0.7659

4643.6 7.681 0.7628
4663.6 7.527 0.7656
4683.5 7.720 0.7659
4703.5 7.455 0.7677
4723.3 7.729 0.7695
4743.3 7.769 0.7717
4763.3 7.535 0.7738
4783.3 7.819 0.7762
4803.3 7.859 0.7735
4823.3 7.767 0.7777

4843.1 7.523 0.7864
4863.1 6.099 0.8136
4883.1 7.044 0.7823
4892.9 7.359 0.7788
4912.9 7.145 0.7823
4932.9 7.327 0.7792
4951.5 7.520 0.7834
4970.7 7.529 0.7823
4988.9 7.255 0.7836
5008.9 6.888 0.7821

5028.9 7.244 0.7827
5048.9 7.213 0.7845
5068.3 7.395 0.7864
5088.3 7.242 0.7881
5108.3 7.252 0.7862
5128.3 7.109 0.7862
5148.3 6.946 0.7869
5168.3 6.286 0.7897
5188.3 6.468 0.7927
5199.5 6.803 0.7904

5219.3 7.026 0.7914
5238.8 7.137 0.7920
5258.0 6.832 0.7933
5278.0 6.741 0.7985
5298.0 7.217 0.7985
5316.5 7.186 0.7975
5335.2 6.851 0.7981
5353.9 7.186 0.7985
5372.0 6.861 0.7977
5391.5 6.830 0.7969

5410.0 6.687 0.8001
5430.0 6.859 0.8042
5450.0 6.972 0.8061
5470.0 6.808 0.8064
5490.0 6.887 0.8042
5508.0 6.847 0.8048
5527.3 6.827 0.8050
5547.0 6.917 0.8060
5566.9 6.623 0.8111
5586.9 6.613 0.8074

5606.9 6.623 0.8102
5626.9 6.794 0.8087
5646.0 6.701 0.8092
